file,control,imaging_day,object_id,v_outer_mesh,v_inner_mesh,area_outer_mesh,area_inner_mesh,mean_height_mesh,median_height_mesh,min_height_mesh,max_height_mesh,a_outer_ellipsoid,b_outer_ellipsoid,c_outer_ellipsoid,a_inner_ellipsoid,b_inner_ellipsoid,c_inner_ellipsoid,iou_outer_mesh,iou_inner_mesh,v_outer_ellipsoid,v_inner_ellipsoid,lumen_radius_cubic,most_similar_lumen_axis_value
fake_d2_000.tif,-1,2,0,153956.09385547796,556.8436695669824,16681.062297406468,312.26440409903745,19.88677869273335,20.497801678116417,16.970181965851584,22.80337541961512,20.401107815601666,42.097904134127596,47.9365667708696,2.874977912658386,6.036352848511423,5.042396712355032,0.5070291083399027,0.2840433621134457,172452.6060368407,366.5512888113205,5.103657939774059,0.1801612575642254
fake_d2_001.tif,-1,2,1,137843.4547637531,1412.5879332915688,18527.164858531643,629.4467545673053,22.617823121793183,22.78819058070044,19.563218637881903,25.672427605704463,22.252200531142698,37.06255367551841,46.76986702229239,9.399177152021776,5.164076692441084,6.441226444348936,0.636606562393714,0.4281756894873699,161570.86464993804,1309.6031018710469,6.960529753648978,0.22144261329713266
fake_d2_002.tif,-1,2,2,149270.86586866196,1400.7177189608146,14364.885605541844,629.3448896153159,20.725504205655962,20.88161788056958,17.670899721744682,23.780108689567243,24.59615067527483,41.870937771782536,51.425471749152386,9.535316667243448,5.844545775347163,8.668594038207221,0.737147084630606,0.5018921282198123,221843.50912171215,2023.5929565056013,6.940978050896815,0.09533189871802186
fake_d2_003.tif,-1,2,3,152500.93703783414,1107.8609238547178,15834.528447665989,708.1052252751135,15.188134363716495,15.302538117037704,12.133529879805216,18.242738847627773,20.089363237646886,37.30587642643129,48.621330745102405,8.753157918363797,6.0113154387869105,6.78076351987865,0.6635138226103099,0.42320831270939757,152636.66523058232,1494.5191679207871,6.418972942157837,0.12051892874962919
fake_d2_004.tif,-1,2,4,345578.902334195,1994.471043670996,17329.315876363482,878.462076917296,26.939698510491834,27.041708091574613,23.417124569160634,30.462272451823033,25.884091428471304,45.66863591524424,66.53506001598127,5.648820917213842,9.99924485500044,12.442257912454561,0.7124556944281226,0.5692264330917937,329450.46678660234,2943.8306227576845,7.808717451565067,0.21902444415575087
fake_d2_005.tif,-1,2,5,122718.33392511158,1096.3942383212222,17416.582053842278,700.1512180653136,22.375184982732875,22.543724783736756,19.3205804988216,25.429789466644152,25.04996881161308,37.99536570561731,47.47192554839101,10.08826904535627,5.600478947244235,7.24116235425327,0.617788899931133,0.3690759542792603,189261.93483721148,1713.7154779323691,6.396750009317502,0.2576368964619958
fake_d2_006.tif,-1,2,6,169336.11973516003,586.7965065791782,16020.912103687657,288.02461787127936,21.472481568575603,22.132225411172293,18.555884841693835,24.38907829545737,18.855631599331723,45.63931340732769,45.60609026546675,3.667374602407519,6.123348027823049,5.8280591726444815,0.5783510729104256,0.27333782371139076,164396.1484543389,548.2224026869103,5.1935737543713945,0.04942999971160783
fake_d2_007.tif,-1,2,7,194344.13702921598,564.0456603332714,18636.070250687477,402.9974688281413,21.19900186324189,21.85034301837589,18.282405136360122,24.115598590123657,22.331970662352283,41.60826153746959,42.63831198528902,3.7224920437058295,5.828876184339345,5.152552166019702,0.4914924220714969,0.32467716524175694,165956.86857756044,468.3058846903066,5.125566639166495,0.12341024002704928
fake_d2_008.tif,-1,2,8,191493.10579222915,504.785677215502,19198.17126929291,417.60683674603996,22.383872252424908,23.071618652152655,19.46727552554314,25.300468979306675,23.352980721044908,45.58406058473666,49.26397608763948,3.745254197453707,5.952360312528302,4.722361876973707,0.538196739679704,0.27106971883027736,219671.340362438,440.97948435966754,4.939384161570436,0.23199590586289381
fake_d2_009.tif,-1,2,9,333349.4544178759,1736.8289444711766,24421.097545321143,767.3380897459944,22.521145794942704,22.606424130450115,18.99857185361151,26.0437197362739,28.52489591260099,43.79310635353409,50.96129376197832,5.917100734660045,7.944754609714427,11.57961025085428,0.7323076674450868,0.6789284053974912,266660.61383253656,2280.19506778899,7.4568626926438215,0.295732528629613
